m_1,m_2,m_3,m_4,m_5,m_6
TCGA_CS_4943_20000902_14.tif,0.984783756540105,0.992134060098758,0.637915442810341,0.984390900436595,0.984536336326477
TCGA_CS_6667_20011105_13.tif,0.996575945215123,0.998236273427069,0.861404349142358,0.996478757363346,0.997135047913854
TCGA_DU_5851_19950428_20.tif,0.991759868157891,0.99574003457603,0.762033294218212,0.991516209804955,0.991810302211383
TCGA_DU_5872_19950223_41.tif,0.973807580921295,0.986309618392112,0.486050353478395,0.972989027307978,0.993848280046517
TCGA_DU_6399_19830416_25.tif,0.994159906558505,0.996983496004165,0.80987620708004,0.993985135870013,0.994378410458465
TCGA_DU_6401_19831001_24.tif,0.987151794428711,0.993110666884014,0.786202796522757,0.986315610088616,0.986870598666598
TCGA_DU_6401_19831001_38.tif,0.989743835901374,0.994627306025631,0.773979381863204,0.98931203521526,0.989559532347104
TCGA_DU_7008_19830723_35.tif,0.988223811580985,0.993921073062755,0.660220575254468,0.987915606272063,0.989507786932426
TCGA_EZ_7264_20010816_17.tif,0.989823837181395,0.994762414559829,0.677991564843519,0.989579407861321,0.990829450751362
TCGA_FG_5962_20000626_41.tif,0.936862989807837,0.966576317126885,0.29344460394045,0.93531465665623,0.93745070977918
TCGA_HT_7686_19950629_11.tif,0.995439927038833,0.997641763133724,0.84791454877212,0.995294622661758,0.995557610688158
TCGA_HT_7856_19950831_15.tif,0.984575753212051,0.99186607715414,0.708409363914149,0.983863408101774,0.984869049414367
